accession_number,title,description,date_created,file,file,file,type,admin_set_id,rights_statement,status,preservation_level,creator,creator,nul_creator,contributor,artist,photographer,nul_contributor,license,genre,genre,keyword,keyword,language,language,nul_use_statement,abstract,abstract,alternate_title,alternate_title,resource_type,related_url,related_url,rights_holder,style_period,style_period,subject,subject_topical,subject_geographical,caption,catalog_key,folder_name,folder_number,box_name,box_number,identifier,physical_description_material,physical_description_size,project_cycle,project_description,proposer,visibility,technique,task_number,source
example.cccc,Remixing History: Defying Juncture,"Donec ac dui sit amet eros blandit sodales. Morbi ac aliquet justo. Vivamus sollicitudin, est pharetra venenatis tincidunt, enim velit luctus nisi, id lobortis ipsum ipsum quis sapien. Donec at tortor mollis, tempus ligula vel, dictum nisl. Etiam pulvinar leo in sapien interdum euismod.",1792-11~,files/coffee.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,http://id.loc.gov/authorities/names/n85819387,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,,,https://creativecommons.org/licenses/by-sa/4.0/,,http://vocab.getty.edu/aat/300386099,,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,,This is an alternate title 12,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1245,Folder 29,Folder Number 45,Box 29,Box Number 1012,nul.948710434,wood,2011 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.dddd,Queering Properties: A Retrospective of Juncture,"In in lorem quis quam tincidunt suscipit quis eu augue. Etiam sed scelerisque nisl, id convallis ligula. ",189u,files/dog.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,http://id.loc.gov/authorities/names/n85819387,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,http://vocab.getty.edu/aat/300386099,,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,,This is an alternate title 13,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1246,Folder 30,Folder Number 46,Box 29,Box Number 1013,nul.948710435,wood,2012 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.eeee,Mediating Extravaganza: Deconstructing Urban Experience,"Proin est lorem, aliquet ut tellus non, placerat aliquam sapien.",1910-01-01/1915-02-15,files/coffee.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,http://vocab.getty.edu/aat/300386099,,photography,,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,This is an alternate title 14,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1247,Folder 30,Folder Number 47,Box 29,Box Number 1014,nul.948710436,ceramic,2013 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,authenticated,,"7,000,009",Original Materials
example.ffff,Decadent Charm: A Remix of Sameness,,"[1910, 1915]",files/earth.tif,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,http://vocab.getty.edu/aat/300386099,,photography,,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,This is an alternate title 15,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1248,Folder 30,Folder Number 48,Box 29,Box Number 1015,nul.948710437,ceramic,2014 x 400,first,Ask to be pet then attack owners hand dream about hunting birds. Lie in the sink all day meoooow get suspicious of own shadow then go play ,Person A,authenticated,,"7,000,009",Original Materials
example.gggg,For Love of Imagination: A Retrospective of the Status Quo,"Proin est lorem, aliquet ut tellus non, placerat aliquam sapien.",1810~/1815~,files/nul.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,http://vocab.getty.edu/aat/300386099,,photography,,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,This is an alternate title 16,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1249,Folder 30,Folder Number 49,Box 29,Box Number 1016,nul.948710438,ceramic,2015 x 400,first,Ask to be pet then attack owners hand dream about hunting birds. Lie in the sink all day meoooow get suspicious of own shadow then go play ,Person A,authenticated,,"7,000,009",Original Materials
example.hhhh,Postcolonial Imagination: Media Art and the Local,"Aliquam libero odio, laoreet non dolor sit amet",1910-21,files/nul.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,http://vocab.getty.edu/aat/300386099,,,http://id.loc.gov/vocabulary/languages/spa,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1250,Folder 30,Folder Number 50,Box 29,Box Number 1017,nul.948710439,ceramic,2016 x 400,first,Ask to be pet then attack owners hand dream about hunting birds. Lie in the sink all day meoooow get suspicious of own shadow then go play ,Person A,authenticated,,"7,000,009",Original Materials
example.iiii,Collective Illusion: The Video Art of Gender,"Etiam tempus ornare egestas. Curabitur metus magna, fermentum vel nunc sed, scelerisque dignissim orci. Praesent mauris erat, convallis id dui id, tempor venenatis ante. Morbi iaculis nunc finibus, eleifend turpis eget, consequat lacus. Maecenas convallis tellus molestie tristique blandit. ",1969?,files/water.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,http://vocab.getty.edu/aat/300386099,,,http://id.loc.gov/vocabulary/languages/spa,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,Art,,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1251,Folder 30,Folder Number 51,Box 300,Box Number 1018,nul.948710440,ceramic,2017 x 400,first,Ask to be pet then attack owners hand dream about hunting birds. Lie in the sink all day meoooow get suspicious of own shadow then go play ,Person A,authenticated,,"7,000,009",Original Materials
example.jjjj,Mediating (Im)Possibilities: Post-Painterly Art of Juncture,,191u/192u,files/coffee.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,,,,http://id.loc.gov/vocabulary/languages/spa,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,,Art,,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1252,Folder 30,Folder Number 52,Box 300,Box Number 1019,nul.948710441,ceramic,2018 x 400,first,Ask to be pet then attack owners hand dream about hunting birds. Lie in the sink all day meoooow get suspicious of own shadow then go play ,Person A,authenticated,,"7,000,009",Original Materials
example.kkkk,Parsing Sustainability: The Dysfunction of Too Many Dinner Parties,"Maecenas quis diam luctus, aliquet ex in, faucibus tellus. ",187u/189u,files/dog.jpg,files/water.jpg,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,,,,http://id.loc.gov/vocabulary/languages/spa,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Image,http://library.northwestern.edu,,,http://vocab.getty.edu/aat/300053276,,Art,,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1253,Folder 30,Folder Number 53,Box 300,Box Number 1020,nul.948710442,ceramic,2019 x 400,first,Ask to be pet then attack owners hand dream about hunting birds. Lie in the sink all day meoooow get suspicious of own shadow then go play ,Person A,restricted,,"7,000,009",Original Materials
example.llll,Apposite Charm: John Waters and Gender,"Aliquam libero odio, laoreet non dolor sit amet","[1969,1970]",files/earth.tif,,,Image,admin_set/default,http://rightsstatements.org/vocab/InC-NC/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,,,,http://id.loc.gov/vocabulary/languages/spa,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Image,http://library.northwestern.edu,,,http://vocab.getty.edu/aat/300053276,,Art,,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1254,Folder 30,Folder Number 54,Box 300,Box Number 1021,nul.948710443,ceramic,,first,Ask to be pet then attack owners hand dream about hunting birds. Lie in the sink all day meoooow get suspicious of own shadow then go play ,Person A,authenticated,,"7,000,009",Original Materials
example.mmmm,Remixing Banality: The Dysfunction of the Local,"Aliquam libero odio, laoreet non dolor sit amet",1810~/1815~,files/nul.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300264827,,,,http://id.loc.gov/vocabulary/languages/spa,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Poster,http://library.northwestern.edu,,,http://vocab.getty.edu/aat/300053276,,Art,,,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1255,Folder 30,Folder Number 55,Box 300,Box Number 1022,nul.948710444,ceramic,,first,,,authenticated,,"7,000,009",Original Materials
example.nnnn,Postcolonial (Im)Possibilities: Locality and Interactivity,"In in lorem quis quam tincidunt suscipit quis eu augue. Etiam sed scelerisque nisl, id convallis ligula. ",1984?~,files/water.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,http://id.loc.gov/vocabulary/languages/spa,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Poster,http://library.northwestern.edu,,,http://vocab.getty.edu/aat/300053276,,Art,,,,alma-1256,Folder 30,Folder Number 56,Box 300,,nul.948710445,ceramic,,,,,authenticated,,"7,000,009",
example.oooo,Apposite Dissent: Cheating the Local,"Maecenas quis diam luctus, aliquet ex in, faucibus tellus. ",2003-24,files/coffee.jpg,files/dog.jpg,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Poster,http://library.northwestern.edu,,,http://vocab.getty.edu/aat/300053276,,,,,,,,,,,nul.948710446,ceramic,,,,,,,"7,000,009",
example.pppp,To Find the Properties of History: 15 Years of the Local,,189u,files/dog.jpg,files/earth.tif,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,http://id.loc.gov/authorities/names/n85819387,,http://id.loc.gov/authorities/names/n79086870,,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300386725,,,,http://id.loc.gov/vocabulary/languages/ger,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Poster,,,,http://vocab.getty.edu/aat/300053276,,,,,,,,,,,,,,,,,,,,
example.qqqq,Extravagant Media: Cheating Progress,"Maecenas quis diam luctus, aliquet ex in, faucibus tellus. ",2010,files/earth.tif,files/water.jpg,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,,,http://id.loc.gov/authorities/names/n79086870,,http://id.loc.gov/authorities/names/n80034261,,https://creativecommons.org/licenses/by-sa/4.0/,http://vocab.getty.edu/aat/300386725,,,,http://id.loc.gov/vocabulary/languages/ger,,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",,,,,Poster,,,,,,,,,,,,,,,,,,,,,,,,
example.rrrr,Decadent Chemistry: A Juried Show of Urban Experience,"Donec ac dui sit amet eros blandit sodales. Morbi ac aliquet justo. Vivamus sollicitudin, est pharetra venenatis tincidunt, enim velit luctus nisi, id lobortis ipsum ipsum quis sapien. Donec at tortor mollis, tempus ligula vel, dictum nisl. Etiam pulvinar leo in sapien interdum euismod.",2010,files/nul.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,,,http://id.loc.gov/authorities/names/n79086870,,http://id.loc.gov/authorities/names/n80034261,,http://creativecommons.org/publicdomain/mark/1.0/,http://vocab.getty.edu/aat/300386725,,,,,,,,,,,Poster,,,,,,,,,,,,,,,,,,,,,,,,
example.ssss,The Bureaucracies of History: John Waters and Social Practice,"In in lorem quis quam tincidunt suscipit quis eu augue. Etiam sed scelerisque nisl, id convallis ligula. ",2010,files/water.jpg,files/dog.jpg,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,,,http://id.loc.gov/authorities/names/n79086870,,,,http://creativecommons.org/publicdomain/mark/1.0/,http://vocab.getty.edu/aat/300386725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example.tttt,Queering Charm: Post-Painterly Art of Urban Experience,"Maecenas quis diam luctus, aliquet ex in, faucibus tellus. ",2010,files/coffee.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/UND/1.0/,In progress,1,,,,http://id.loc.gov/authorities/names/n79086870,,,,http://creativecommons.org/publicdomain/mark/1.0/,http://vocab.getty.edu/aat/300386725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,